topic,silo,entity,text,links,notes,version,active
Trade/Invest/CFD,SB/CFD,ROW,"For emails, use the full version of the Risk Warning for each entity. For push notifications, use the shortened version of the Risk Warning for each entity.",[],,v1,true
Trade/Invest/CFD,LISTED STOCKS,UK,"For emails, use the full version of the Risk Warning for each entity. For push notifications, use the shortened version of the Risk Warning for each entity.",[],,v1,true
Trade/Invest/CFD,LISTED STOCKS,EU,"For emails, use the full version of the Risk Warning for each entity. For push notifications, use the shortened version of the Risk Warning for each entity.",[],,v1,true
Trade/Invest/CFD,LISTED STOCKS,ROW,"For emails, use the full version of the Risk Warning for each entity. For push notifications, use the shortened version of the Risk Warning for each entity.",[],,v1,true
Visa Disclaimer,Wallet,EU,Your card is issued by Modulr Finance B.V. pursuant to a license by Visa Europe. Visa and the Visa brand mark are registered trademarks of Visa Europe.,[],,v1,true
Visa Disclaimer,Wallet,UK,Your card is issued by Modulr FS Limited pursuant to a license by Visa Europe. Visa and the Visa brand mark are registered trademarks of Visa Europe.,[],,v1,true
Wallet safeguarding,Wallet,UK,"Stratos Markets Limited is a distributor of Modulr FS Limited, a company registered in England and Wales with company number 09897919, which is authorised and regulated by the Financial Conduct Authority as an Electronic Money Institution (Firm Reference Number: 900573) for the issuance of electronic money and payment services. Your account and related payment services are provided by Modulr FS Limited. Whilst Electronic Money products are not covered by the Financial Services Compensation Scheme (FSCS) your funds will be held in one or more segregated accounts and safeguarded in line with the Electronic Money Regulations 2011 - for more information please see here. Stratos Markets Limited also provides other regulated services. These are separate and unrelated to the account and payment services you receive from Modulr FS Limited.",[],,v1,true
Wallet safeguarding,Wallet,EU,"Stratos Europe Limited is a partner of Modulr Finance B.V., a company registered in the Netherlands with company number 81852401, which is authorised and regulated by the Dutch Central Bank (DNB) as an Electronic Money Institution (Firm Reference Number: R182870) for the issuance of electronic money and payment services. Your account and related payment services are provided by Modulr Finance B.V. Your funds will be held in one or more segregated accounts and safeguarded in line with the Financial Supervision Act (Wet op het Financieel Toezicht, Wft) - for more information please see here. Stratos Europe Limited also provides other regulated services. These are separate and unrelated to the account and payment services you receive from Modulr Finance B.V.",[],,v1,true
Wallet promotion,Wallet,UK,"Wallet launch promotion - statement valid for a limited period of time, and only until the launch promotional period applies. Full terms and conditions here.",[],,v1,true
Wallet promotion,Wallet,EU,"Wallet launch promotion - statement valid for a limited period of time, and only until the launch promotional period applies. Full terms and conditions here.",[],,v1,true
Unbeatable pricing,CRYPTO,ROW,"Tradu's cost includes a 0.1% commission with an instant rebate of 0.05%. Comparative pricing is based on a standard account type and information from broker websites as of 1st April 2025. It does not reflect the entire market. Actual fees may vary depending on factors like account type, rebates, trading volume, and market conditions. Rebate of 0.05% on orders over $20,000 and 0.02% back on orders over $5,000.",[],,v1,true
Unbeatable pricing,CRYPTO,EU,"Tradu's cost includes a 0.1% commission with an instant rebate of 0.05%. Comparative pricing is based on a standard account type and information from broker websites as of 1st April 2025. It does not reflect the entire market. Actual fees may vary depending on factors like account type, rebates, trading volume, and market conditions. Rebate of 0.05% on orders over €20,000 and 0.02% back on orders over €5,000.",[],,v1,true
Free access to TradingView,CRYPTO,ROW,*Terms and conditions apply.,[],,v1,true
